date,precipitation,tempMax,tempMin
07/12/1995,0,18.8,-5.4
08/12/1995,0,19.4,4.2
09/12/1995,0,16.4,4.6
10/12/1995,0,18.6,-0.6
11/12/1995,0,20,0.8
12/12/1995,0,18,0.4
13/12/1995,0,20.4,0.4
14/12/1995,0,20,0.6
15/12/1995,0,21,0.8
16/12/1995,0,21,0.8
17/12/1995,0,20.2,1
18/12/1995,0,20,1.4
19/12/1995,0,22,1.2
20/12/1995,0,21,-1.2
21/12/1995,0,22,-0.6
22/12/1995,,19.6,
23/12/1995,0,21,0.4
24/12/1995,0,19.4,0.6
25/12/1995,0,20,0.4
26/12/1995,0,18,1.2
27/12/1995,0,19,0.4
28/12/1995,0,18,0.4
29/12/1995,0,20,0.6
30/12/1995,0,20.2,0.8
31/12/1995,0,,-0.4
01/01/1996,0,18.2,5.2
02/01/1996,0,20,5
03/01/1996,0,21,5.4
04/01/1996,0,20.2,5.2
05/01/1996,0,21,5.6
06/01/1996,0,22,5.2
07/01/1996,0,20,5
08/01/1996,0,19.4,5.2
09/01/1996,0,18.6,5
10/01/1996,0,20.2,5
11/01/1996,0,20,5.2
12/01/1996,1.9,19.4,5.7
13/01/1996,4.8,19,6.2
14/01/1996,2.5,14,7
15/01/1996,2.7,16,7.2
16/01/1996,,17,7
17/01/1996,5.1,19,8.2
18/01/1996,12.7,14.2,8.4
19/01/1996,15.9,13.4,8
20/01/1996,3.1,13.2,5.4
21/01/1996,6.6,13.6,8
22/01/1996,0.3,14.4,8.2
23/01/1996,0,16,5.8
24/01/1996,0,19,8
25/01/1996,0,18.4,9.4
26/01/1996,0,18,10
27/01/1996,0,17,5.6
28/01/1996,0,18,
29/01/1996,0,16.2,5
30/01/1996,0,19,7.2
31/01/1996,0,16.2,7
01/02/1996,0,18,3.6
02/02/1996,0,18,5
03/02/1996,0,20,6
04/02/1996,0,,5.6
05/02/1996,2.6,17,6.2
06/02/1996,1.8,16,7.2
07/02/1996,0,18,6.2
08/02/1996,1.2,20,6
09/02/1996,2.1,18,9
10/02/1996,6.2,16,8.2
11/02/1996,9.3,16.2,6.4
12/02/1996,0.3,16.2,8.2
13/02/1996,0.8,18,10
14/02/1996,0.9,19.4,9
15/02/1996,0,18.4,8.4
16/02/1996,2.4,19,
17/02/1996,0,20,5.4
18/02/1996,0.8,18.4,6
19/02/1996,3.7,17,5
20/02/1996,,18,6
21/02/1996,3.2,17.4,6.2
22/02/1996,0.5,18,3.8
23/02/1996,0,18,3.2
24/02/1996,2.4,,5.4
25/02/1996,0,17.6,6.2
26/02/1996,4.4,19,6
27/02/1996,1.6,21.4,6
28/02/1996,10.2,20.4,6.2
29/02/1996,0.8,18,8
01/03/1996,2.6,18,6.2
02/03/1996,1.3,19,8
03/03/1996,0,18.2,6
04/03/1996,0,19.4,
05/03/1996,0,18.4,6.4
06/03/1996,0,18.6,3
07/03/1996,,18.2,3.2
08/03/1996,0,19,3.2
09/03/1996,0,,3.4
10/03/1996,0,19,4.4
11/03/1996,0,18.4,5.2
12/03/1996,0,19.2,3.8
13/03/1996,0,18.4,3.8
14/03/1996,0,19.6,3.6
15/03/1996,0,18,3.8
16/03/1996,0,20,3.2
17/03/1996,0,18,5
18/03/1996,0,17.6,4.2
19/03/1996,0,17.8,4
20/03/1996,0,17.6,6.4
21/03/1996,0,18,4.8
22/03/1996,0,18.2,5
23/03/1996,0,17.4,6
24/03/1996,0,18,5
25/03/1996,0,19,5.2
26/03/1996,0,20,4
27/03/1996,0,19,4.6
28/03/1996,0,19.4,7
29/03/1996,0,20,6.2
30/03/1996,0,20,5.8
31/03/1996,0,18.4,4.8
01/04/1996,0,19,4.8
02/04/1996,0,19.2,4.6
03/04/1996,0,19.6,4
04/04/1996,0,19.2,4.8
05/04/1996,0,20,4
06/04/1996,0,20.2,3
07/04/1996,0,19.2,5
08/04/1996,0,18.4,6
09/04/1996,0,19,4
10/04/1996,0,18.4,3.8
11/04/1996,0,19.6,3.6
12/04/1996,0,19.6,4.2
13/04/1996,0,18.2,4.8
14/04/1996,0,19.4,4.2
15/04/1996,0,18.8,5
16/04/1996,0,17.4,4.4
17/04/1996,0,19.2,5
18/04/1996,0,19,4.2
19/04/1996,0,17.2,5
20/04/1996,0,20,4
21/04/1996,0,19.2,5
22/04/1996,0,18.2,4.2
23/04/1996,0,18.4,5
24/04/1996,0,18.6,4
25/04/1996,0,18.2,4.2
26/04/1996,0,19.2,6.4
27/04/1996,0,20,7.8
28/04/1996,0,20,8.2
29/04/1996,0,19.6,5.2
30/04/1996,0,20.2,4.8
01/05/1996,0,18.2,6.4
02/05/1996,0,20,7.4
03/05/1996,0,20.2,7.6
04/05/1996,0,19.4,6.4
05/05/1996,0,18.6,6.8
06/05/1996,0,19.2,5.6
07/05/1996,0,18,5.8
08/05/1996,0,20,5
09/05/1996,0,20,5.2
10/05/1996,0,20,7
11/05/1996,0,21,8.2
12/05/1996,0,19,4
13/05/1996,0,18.2,2
14/05/1996,0,17.4,2
15/05/1996,0,18.2,4
16/05/1996,0,17.4,4.8
17/05/1996,0,17.4,3.6
18/05/1996,0,17.4,1.2
19/05/1996,0,18,2.6
20/05/1996,0,18.2,3.8
21/05/1996,0,18.4,4.8
22/05/1996,0,17,4
23/05/1996,0,19,4.2
24/05/1996,0,19,3.2
25/05/1996,0,19,3.2
26/05/1996,0,19.2,3.4
27/05/1996,0,19.4,4.6
28/05/1996,0,19.4,5
29/05/1996,0,19,5.2
30/05/1996,0,19,5
31/05/1996,0,-99.9,-99.9
01/06/1996,0,18,4.2
02/06/1996,0,18.6,2.6
03/06/1996,0,18.4,3.2
04/06/1996,0,18.2,3
05/06/1996,0,18,3.4
06/06/1996,0,19.2,3.2
07/06/1996,0,19.6,2
08/06/1996,0,19.8,1.4
